,hour,dayofweek,month,year,season,holiday,workingday,weather,temp,humidity,windspeed,count
1492,1,4,4,2011,2,0,1,2,13.94,76,8.9981,9
2139,1,0,5,2011,2,0,1,1,21.32,94,8.9981,14
6971,19,6,4,2012,2,0,0,1,24.6,23,26.0027,276
465,11,2,2,2011,1,0,1,2,9.84,93,12.998,52
419,12,2,1,2011,1,0,1,2,12.3,81,6.0032,70
5625,12,0,1,2012,1,0,1,2,10.66,56,7.0015,103
9233,2,5,9,2012,3,0,0,1,27.06,89,22.0028,77
8842,19,4,8,2012,3,0,1,1,31.16,62,19.0012,492
9244,13,5,9,2012,3,0,0,1,33.62,52,35.0008,668
8861,14,5,8,2012,3,0,0,1,32.8,49,19.9995,538
1878,4,3,5,2011,2,0,1,1,13.94,66,16.9979,7
2326,20,5,6,2011,2,0,0,2,28.7,48,6.0032,239
4155,4,2,10,2011,4,0,1,1,18.04,88,0.0,5
6909,5,4,4,2012,2,0,1,1,13.12,53,22.0028,23
10444,14,5,12,2012,4,0,0,2,14.76,71,0.0,479
7108,13,5,4,2012,2,0,0,1,25.42,33,19.9995,678
8843,20,4,8,2012,3,0,1,1,30.34,66,19.9995,370
5789,9,0,1,2012,1,1,0,1,4.1,58,11.0014,96
311,11,4,1,2011,1,0,1,1,7.38,51,19.0012,53
814,9,3,2,2011,1,0,1,1,14.76,57,12.998,179
4438,23,6,10,2011,4,0,0,1,22.96,52,27.9993,62
6168,6,0,2,2012,1,0,1,1,4.1,54,15.0013,72
6665,0,3,3,2012,1,0,1,1,22.14,49,8.9981,60
5055,17,6,12,2011,4,0,0,1,15.58,76,8.9981,245
10812,22,6,12,2012,4,0,0,2,16.4,82,12.998,89
6756,19,6,3,2012,1,0,0,1,22.96,64,11.0014,352
10191,1,5,11,2012,4,0,0,1,12.3,81,6.0032,76
1317,18,5,3,2011,1,0,0,1,18.86,31,22.0028,217
632,13,2,2,2011,1,0,1,1,7.38,40,16.9979,69
1651,17,3,4,2011,2,0,1,1,24.6,28,0.0,388
1324,1,4,4,2011,2,0,1,3,10.66,100,11.0014,4
309,9,4,1,2011,1,0,1,1,5.74,69,8.9981,117
8188,13,0,7,2012,3,0,1,1,35.26,34,15.0013,236
1896,22,3,5,2011,2,0,1,1,19.68,39,12.998,165
4562,4,3,11,2011,4,0,1,1,13.12,81,6.0032,4
540,16,5,2,2011,1,0,0,3,9.02,100,8.9981,71
5839,12,2,1,2012,1,0,1,1,12.3,39,32.9975,161
4912,18,3,11,2011,4,0,1,1,13.12,39,12.998,307
6372,18,4,3,2012,1,0,1,3,14.76,87,12.998,160
2872,14,4,7,2011,3,0,1,2,32.8,63,23.9994,216
1125,13,4,3,2011,1,0,1,1,14.76,53,16.9979,107
1301,2,5,3,2011,1,0,0,2,22.96,43,15.0013,25
9407,8,5,9,2012,3,0,0,1,22.96,49,27.9993,212
6038,20,1,2,2012,1,0,1,1,14.76,50,8.9981,212
9639,0,5,10,2012,4,0,0,1,22.96,83,11.0014,191
8073,18,5,6,2012,2,0,0,2,29.52,37,15.0013,571
1217,12,1,3,2011,1,0,1,2,14.76,50,15.0013,102
1927,5,5,5,2011,2,0,0,1,18.86,59,8.9981,7
1803,1,0,5,2011,2,0,1,1,18.86,72,8.9981,114
10739,21,3,12,2012,4,0,1,1,11.48,48,0.0,213
9556,13,1,10,2012,4,0,1,2,24.6,88,8.9981,154
10400,18,6,11,2012,4,0,0,1,14.76,66,15.0013,276
3093,19,6,7,2011,3,0,0,1,31.16,55,19.0012,379
1623,13,2,4,2011,2,0,1,2,18.04,77,12.998,61
6492,18,2,3,2012,1,0,1,1,22.96,40,31.0009,544
371,23,6,1,2011,1,0,0,2,8.2,40,7.0015,18
8472,9,5,7,2012,3,0,0,1,27.06,74,12.998,282
4490,4,2,10,2011,4,0,1,3,20.5,94,12.998,3
2904,22,5,7,2011,3,0,0,1,29.52,62,11.0014,214
1692,10,5,4,2011,2,0,0,3,17.22,94,26.0027,22
382,10,0,1,2011,1,1,0,2,6.56,50,16.9979,57
10184,18,4,11,2012,4,0,1,1,17.22,44,7.0015,496
4326,7,2,10,2011,4,0,1,2,22.14,88,26.0027,259
8131,4,1,6,2012,2,0,1,2,24.6,78,8.9981,10
1547,8,6,4,2011,2,0,0,2,15.58,94,6.0032,55
2777,15,0,7,2011,3,1,0,1,33.62,43,6.0032,408
6811,2,0,4,2012,2,0,1,3,18.04,94,8.9981,5
3428,18,4,8,2011,3,0,1,1,31.16,40,19.9995,465
6004,10,0,2,2012,1,0,1,1,9.02,75,7.0015,116
727,16,6,2,2011,1,0,0,2,17.22,28,22.0028,134
5543,2,4,1,2012,1,0,1,1,9.02,69,11.0014,5
9125,14,0,9,2012,3,1,0,1,30.34,70,19.9995,512
3344,6,1,8,2011,3,0,1,1,29.52,64,0.0,101
5691,7,3,1,2012,1,0,1,2,13.94,87,19.0012,220
2703,13,4,7,2011,3,0,1,1,32.8,24,0.0,292
2768,6,0,7,2011,3,1,0,1,26.24,89,11.0014,16
10717,23,2,12,2012,4,0,1,2,11.48,56,15.0013,79
7063,16,3,4,2012,2,0,1,1,19.68,31,19.0012,353
1019,23,6,3,2011,1,0,0,2,9.02,100,27.9993,9
3829,13,5,9,2011,3,0,0,1,30.34,55,19.0012,370
1528,13,5,4,2011,2,0,0,2,14.76,81,0.0,222
7090,19,4,4,2012,2,0,1,1,22.14,24,11.0014,427
6192,6,1,2,2012,1,0,1,2,10.66,56,0.0,90
7055,8,3,4,2012,2,0,1,1,13.12,66,22.0028,624
3158,12,0,8,2011,3,0,1,1,36.9,33,16.9979,168
6478,4,2,3,2012,1,0,1,1,11.48,61,22.0028,3
353,5,6,1,2011,1,0,0,2,10.66,56,11.0014,2
2233,23,3,5,2011,2,0,1,1,19.68,94,0.0,72
1526,11,5,4,2011,2,0,0,2,14.76,81,0.0,142
3840,0,6,9,2011,3,0,0,1,25.42,88,0.0,108
678,14,4,2,2011,1,0,1,1,12.3,26,16.9979,84
1150,14,5,3,2011,1,0,0,1,16.4,50,30.0026,166
9836,5,6,10,2012,4,0,0,1,16.4,82,12.998,11
9487,16,1,9,2012,3,0,1,3,24.6,88,19.9995,141
1736,6,0,4,2011,2,0,1,1,16.4,82,0.0,54
3106,8,0,7,2011,3,0,1,1,28.7,70,12.998,347
9292,13,0,9,2012,3,0,1,1,26.24,38,15.0013,323
6709,20,4,3,2012,1,0,1,1,18.86,88,0.0,235
2128,14,6,5,2011,2,0,0,1,26.24,73,12.998,437
277,0,3,1,2011,1,0,1,1,5.74,59,19.0012,7
6085,19,3,2,2012,1,0,1,1,13.12,33,7.0015,295
1774,20,1,4,2011,2,0,1,2,20.5,72,15.0013,168
7134,15,6,4,2012,2,0,0,1,28.7,39,26.0027,617
4900,6,3,11,2011,4,0,1,3,14.76,57,15.0013,75
2559,13,1,6,2011,2,0,1,1,26.24,44,15.0013,209
4661,7,0,11,2011,4,0,1,2,11.48,93,0.0,311
4181,6,3,10,2011,4,0,1,1,16.4,66,12.998,114
7164,21,0,4,2012,2,1,0,1,27.88,51,16.9979,271
467,13,2,2,2011,1,0,1,1,13.94,93,11.0014,75
10046,23,5,11,2012,4,0,0,1,13.12,57,7.0015,148
6548,2,5,3,2012,1,0,0,1,10.66,41,16.9979,42
4643,13,6,11,2011,4,0,0,1,18.86,51,11.0014,314
6715,2,5,3,2012,1,0,0,2,18.04,88,0.0,42
8989,22,3,8,2012,3,0,1,1,29.52,51,11.0014,254
4865,19,1,11,2011,4,0,1,2,20.5,72,23.9994,286
2162,0,1,5,2011,2,0,1,2,22.96,88,0.0,31
4904,10,3,11,2011,4,0,1,2,13.94,61,22.0028,81
7043,20,2,4,2012,2,0,1,1,14.76,46,22.0028,235
5758,2,6,1,2012,1,0,0,2,6.56,47,19.0012,43
8607,0,2,8,2012,3,0,1,1,27.88,79,11.0014,47
6870,14,2,4,2012,2,0,1,2,25.42,46,12.998,258
3268,2,5,8,2011,3,0,0,1,27.06,78,15.0013,53
4697,19,1,11,2011,4,0,1,1,18.86,59,0.0,278
9505,10,2,9,2012,3,0,1,1,22.96,52,12.998,192
8613,6,2,8,2012,3,0,1,1,26.24,78,8.9981,185
8783,8,2,8,2012,3,0,1,2,30.34,72,6.0032,737
5257,3,1,12,2011,4,0,1,1,7.38,80,0.0,3
4656,2,0,11,2011,4,0,1,1,13.12,93,0.0,2
6510,12,3,3,2012,1,0,1,2,22.96,60,30.0026,251
7482,3,4,5,2012,2,0,1,1,18.86,41,19.0012,13
1580,18,0,4,2011,2,0,1,1,29.52,51,26.0027,383
2992,14,2,7,2011,3,0,1,3,33.62,46,8.9981,116
7388,5,0,5,2012,2,0,1,1,18.86,88,7.0015,23
5017,3,5,12,2011,4,0,0,1,9.84,70,8.9981,9
10611,13,5,12,2012,4,0,0,2,16.4,87,11.0014,547
2717,3,5,7,2011,3,0,0,1,26.24,53,0.0,26
5804,0,1,1,2012,1,0,1,2,10.66,70,22.0028,12
